id,univ,prodi,kode,jenjang,kelompok,rumpun_ilmu,prov,itk,keketatan_2025,rataan,point,passing_grade_est,pg_batas_bawah,pg_batas_atas,level,daya_tampung_2026,peminat_2025,mu1,mu2,mu3,mu4,mu5,mu6,mu7,pmu1,pmu2,pmu3,pmu4,pmu5,pmu6,pmu7,ukt1,ukt2,ukt3,ukt4,ukt5,ukt_min,ukt_max
f30ce560-785b-4da9-8bf0-569b3cd67227,UNIVERSITAS PATTIMURA,KEHUTANAN,18111008,S1,Saintek,Saintek-Pertanian,Maluku,103.33,0.9677,472.70,467.30,470,465,475,C3,31,30,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f3264f80-9c99-41fa-ae83-79c95c4dbcc9,UNIVERSITAS MULAWARMAN,PENDIDIKAN GURU SEKOLAH DASAR,15411054,S1,Soshum,Soshum-Pendidikan,Kalimantan Timur,11.7,8.5469,567.70,562.30,565,560,570,C1,64,547,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f3440f1b-2ff8-4cea-a43e-6c1bf169b721,UNIVERSITAS PAPUA,TEKNIK ELEKTRO,19211014,S1,Saintek,Saintek-Teknik,Papua Barat,400,0.2500,472.70,467.30,470,465,475,C3,24,6,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,647,762.00","Rp16,600,797.00","Rp19,530,349.00",500000.0,19530349.0
f348c954-d097-459f-8ddb-318db858646e,UNIVERSITAS MARITIM RAJA ALI HAJI,BISNIS DIGITAL,11331024,S1,Soshum,Saintek-IT,Kepulauan Riau,55.56,1.8000,482.70,477.30,480,475,485,D,60,108,PBM,PU,PPU,PK,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f34c20d4-1006-474a-a7e9-67af3edb24d6,UNIVERSITAS NEGERI SURABAYA,PERENCANAAN WILAYAH DAN KOTA,13831105,S1,Saintek,Saintek-Teknik,Jawa Timur,9.93,10.0667,582.70,577.30,580,575,585,B3,45,453,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,,,,,,500000.0,16726050.0
f35aa60e-543e-4f93-8c49-9e05ee2fb772,UNIVERSITAS SAM RATULANGI,ILMU HUKUM,17211043,S1,Soshum,Soshum-Hukum,Sulawesi Utara,51.85,1.9286,482.70,477.30,480,475,485,B1,350,675,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
f3a54bb2-3ac8-4fcc-a369-d77d5cbe40f0,UNIVERSITAS PADJADJARAN,PEMASARAN DIGITAL,13332070,D4,Soshum,Soshum-Sosial,Jawa Barat,1.23,81.3684,712.70,707.30,710,705,715,B1,19,1546,PBM,PU,PPU,PK,LBI,PM,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f3b6fdd2-5a4e-4d18-8aae-8edc5818a49a,UNIVERSITAS PAPUA,SASTRA INGGRIS,19211025,S1,Soshum,Soshum-Humaniora,Papua Barat,266.67,0.3750,472.70,467.30,470,465,475,C3,16,6,PBM,PU,PPU,PK,LBE,LBI,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f3baa61f-15d7-4d76-854e-5815506c4494,UNIVERSITAS SAM RATULANGI,SASTRA INGGRIS,17211045,S1,Soshum,Soshum-Humaniora,Sulawesi Utara,51.72,1.9333,482.70,477.30,480,475,485,C1,60,116,PBM,PU,PPU,PK,LBE,LBI,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f3bb71db-cf07-4577-ade6-b25453a263b2,POLITEKNIK NEGERI BANYUWANGI,PENGEMBANGAN PRODUK AGROINDUSTRI,24712012,D4,Saintek,Saintek-Teknik,Jawa Timur,63.16,1.5833,482.70,477.30,480,475,485,C3,24,38,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,256,087.00","Rp15,023,565.00","Rp17,674,782.00",500000.0,17674782.0
